阀门开度输出,平均值,最大值,最小值,标准差,样本数量,峰值扭矩
0,276.3709490762712,280.9972636,270.971061,3.327254731333249,59,280.9972636
1,269.928006546,275.1337354,264.4791437,3.3126684556459267,100,275.1337354
2,267.804749591,275.0200946,260.6674157,5.125085548300506,100,275.0200946
3,262.669855087,269.8465047,255.479637,5.118593174468783,100,269.8465047
4,257.490258072,264.6414706,250.2746029,5.121817836449515,100,264.6414706
5,252.325343015,259.5401619,245.187483,5.1246877850328,100,259.5401619
6,245.268786622,252.4454959,238.0786282,5.118303269976807,100,252.4454959
7,240.158749886,247.3104289,232.9435612,5.121503473199203,100,247.3104289
8,234.923760574,242.1389971,227.7863182,5.125003105147917,100,242.1389971
9,221.82258232222222,228.9816792,214.6148115,5.141551637962091,99,228.9816792
10,218.68654474257426,225.8040581,211.4371904,5.107384851088531,101,225.8040581
11,213.430720993,220.6453554,206.2926765,5.124549613212899,100,220.6453554
12,208.401137829,215.5783594,201.2114917,5.118369566110942,100,215.5783594
13,203.242767215,210.3941184,196.0272507,5.121723958964498,100,210.3941184
14,198.05631312000003,205.2717376,190.9190587,5.125146101220714,100,205.2717376
15,192.91022380400003,200.0862247,185.719357,5.118419351097938,100,200.0862247
16,189.814791864,196.9665736,182.5997059,5.121434788814253,100,196.9665736
17,182.67493829,189.8905629,175.537884,5.125299086654349,100,189.8905629
18,177.49973041099997,184.6750359,170.3081682,5.118303820593939,100,184.6750359
19,172.477397852,179.6296749,165.2628072,5.121106626798076,100,179.6296749
20,159.44275778,172.3110764,141.468445,10.642841120293612,100,172.3110764
21,134.70069827,144.045593,118.229492,9.531110525676873,100,144.045593
22,113.10271661616162,122.479431,98.471802,8.892567962301088,99,122.479431
23,94.91500604000001,102.405334,82.647644,7.378040660569352,100,102.405334
24,80.06781622,87.711365,68.360657,6.883265492426207,100,87.711365
25,66.52682065,73.786072,56.967224,5.9641965179723035,100,73.786072
26,54.376207435643565,62.302185,40.736084,7.518683080580492,101,62.302185
27,48.675277079999994,57.781006,41.414246,5.351992300379485,100,57.781006
28,47.153898819999995,56.243774,38.11377,5.638413166954436,100,56.243774
29,45.868974619999996,55.023071,39.560547,4.991953314574394,100,55.023071
30,45.10518508080808,53.259766,35.898376,5.271675674004363,99,53.259766
31,42.48349975,51.858215,34.903687,5.648390647044134,100,51.858215
32,41.665614610000006,51.360901,34.406372,5.530106202240476,100,51.360901
33,41.833357,50.004517,35.129761,4.869542751758403,100,50.004517
34,40.02564682178218,48.557739,29.885193,5.860876113532454,101,48.557739
35,38.23537413,47.969971,29.975586,5.544051347265407,100,47.969971
36,38.30635923,46.342346,30.518127,5.145858095635355,100,46.342346
37,36.27678832,45.392883,28.302734,5.452224324116707,100,45.392883
38,35.95895137,44.533875,27.262878,5.559321856244715,100,44.533875
39,34.905524404040406,44.217407,27.579346,5.725841620419612,99,44.217407
40,34.27479492,43.946106,26.94635,5.667831284995717,100,43.946106
41,33.93977848,42.90625,27.488953,5.095818321117922,100,42.90625
42,33.13546567,42.04718,24.55011,5.381284625430739,100,42.04718
43,31.606838349999997,41.866333,24.595398,5.631708686652518,100,41.866333
44,32.18694467326733,41.142944,23.691101,5.572706073007504,101,41.142944
45,31.23519408,41.459412,25.092651,5.544120326025186,100,41.459412
46,32.834799170000004,41.097778,26.810791,4.538953016093892,100,41.097778
47,31.107699550000003,39.696167,23.826721,5.0064896697578805,100,39.696167
48,29.486922414141414,39.651001,23.058105,5.682717294941681,99,39.651001
49,30.352198469999998,39.108398,23.058105,4.850517471933071,100,39.108398
50,30.82104972,38.882385,22.651245,4.779861151414849,100,38.882385
51,29.24224471,38.746704,23.058105,5.321360269245259,100,38.746704
52,30.36486448,38.701538,23.826721,4.674000838325544,100,38.701538
53,29.739229366336634,38.927551,23.826721,4.882902214163814,101,38.927551
54,31.128043320000003,38.158936,23.555481,4.6305787657943975,100,38.158936
55,29.55963188,38.882385,23.917175,4.918112789432431,100,38.882385
56,30.870783619999997,39.153625,25.137878,4.490267383830158,100,39.153625
57,30.304859545454544,39.651001,25.318726,4.858668781312214,99,39.651001
58,31.27363107,39.78656,25.228333,4.703324697025479,100,39.78656
59,31.25870492,40.419556,25.499573,4.979736587856498,100,40.419556
60,31.50918577,41.142944,26.810791,4.981145120552991,100,41.142944
61,32.8754828,41.188171,26.810791,4.621995160307928,100,41.188171
62,32.475682683168316,40.419556,25.228333,4.625284468747776,101,40.419556
63,31.661543,41.188171,25.951721,4.957895106931741,100,41.188171
64,32.629532479999995,42.454102,27.127197,4.869605793061695,100,42.454102
65,33.7569616969697,42.092468,28.302734,4.492751737893441,99,42.092468
66,33.58531923,42.634949,28.347961,5.013476926598678,100,42.634949
67,33.659457429999996,42.996643,28.528809,4.840275977858332,100,42.996643
68,35.14558592,44.126953,29.07135,4.945700642690705,100,44.126953
69,35.57057681,44.262573,29.885193,4.443542211741497,100,44.262573
70,37.57120663,44.488647,31.196289,4.259805017918449,100,44.488647
71,37.23502164356435,44.895569,32.010132,4.492037664315623,101,44.895569
72,37.92024663,44.986023,30.653748,4.452249347095946,100,44.986023
73,36.7066971010101,47.563049,30.563354,5.8140502554678095,99,47.563049
74,39.878382620000004,47.969971,34.180298,4.540554951006563,100,47.969971
75,40.571481399999996,48.829041,34.813293,4.7108696246252615,100,48.829041
76,40.41007698,49.009888,34.994141,4.8229450185830265,100,49.009888
77,41.82612053,49.552368,34.994141,4.882021995004041,100,49.552368
78,41.97215025,51.179993,37.073853,4.6695037924816765,100,51.179993
79,44.00398077,51.767761,37.390381,4.478393921619213,100,51.767761
80,44.28765328712871,53.395447,37.480774,5.289416511270382,101,53.395447
81,46.938695589999995,54.028381,42.680115,3.8471224705360734,100,54.028381
82,47.20363705,56.515015,43.132324,4.368235901823362,100,56.515015
83,49.84285848484849,58.414001,44.217407,4.699283212487351,99,58.414001
84,52.337468879999996,58.459167,48.9646,3.344825919082972,100,58.459167
85,51.7582965,56.243774,44.986023,3.2638637258794074,100,56.243774
86,45.95307063,49.82373,36.666992,3.6904247307866966,100,49.82373
87,38.38367316,42.861023,30.156433,3.4430385854556462,100,42.861023
88,32.56207096039604,36.531311,22.334778,4.019341345675523,101,36.531311
89,24.23049809,27.579346,16.864136,2.9815466000884583,100,27.579346
90,15.934988209999998,20.435852,5.922791,3.840707779515372,100,20.435852
91,6.53946687,9.494537,1.220703,2.087000434500145,100,9.494537
92,2.2715536666666667,4.204681,-0.180847,1.1287297979542112,99,4.204681
93,0.29839261,2.215393,-4.340363,1.6638042024670354,100,-4.340363
94,-3.5979744900000004,-2.124969,-4.837677,0.7341595855628038,100,-4.837677
95,-4.74093709,-4.204712,-4.837677,0.1404952246114734,100,-4.837677
96,-4.794712435643564,-4.611633,-5.108948,0.08913702391783292,101,-5.108948
97,-6.259150399999999,-4.837677,-15.417297,2.921956851643195,100,-15.417297
98,-46.16737178,-15.914642,-70.349945,20.125327259620448,100,-70.349945
99,-70.4951745959596,-70.078674,-71.163757,0.195616265984012,99,-71.163757
100,,,,,0,
